Rendering est
  INFO     Rendering texts in 10621 tiles...                                                                                                                                                                
         23726113 function calls (23592317 primitive calls) in 70.825 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1005    0.002    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
        1    0.000    0.000    0.018    0.018 Image.py:1(<module>)
        3    0.000    0.000    0.018    0.006 request.py:1(<module>)
        1    0.000    0.000    0.017    0.017 __init__.py:1467(info)
        1    0.000    0.000    0.017    0.017 __init__.py:1600(_log)
        1    0.000    0.000    0.017    0.017 _add_newdocs_scalars.py:1(<module>)
     3618    0.003    0.000    0.017    0.000 coordinates.py:93(get_coordinates)
        1    0.000    0.000    0.017    0.017 _log_render.py:1(<module>)
        2    0.000    0.000    0.017    0.009 _adapters.py:1(<module>)
        1    0.000    0.000    0.017    0.017 pretty.py:1(<module>)
        1    0.000    0.000    0.017    0.017 __init__.py:1626(handle)
        1    0.000    0.000    0.017    0.017 __init__.py:1680(callHandlers)
        1    0.000    0.000    0.017    0.017 __init__.py:955(handle)
        1    0.000    0.000    0.017    0.017 logging.py:126(emit)
        1    0.000    0.000    0.017    0.017 loader.py:1(<module>)
        1    0.000    0.000    0.017    0.017 __init__.py:977(version)
        1    0.000    0.000    0.017    0.017 __init__.py:951(distribution)
        1    0.000    0.000    0.017    0.017 __init__.py:532(from_name)
        1    0.000    0.000    0.016    0.016 text.py:1(<module>)
       32    0.000    0.000    0.016    0.001 {built-in method builtins.next}
        8    0.000    0.000    0.016    0.002 __init__.py:903(<genexpr>)
       17    0.000    0.000    0.016    0.001 worker.py:2585(_make_remote)
    14122    0.016    0.000    0.016    0.000 PngImagePlugin.py:191(close)
        7    0.000    0.000    0.016    0.002 __init__.py:801(search)
    36067    0.016    0.000    0.016    0.000 decorators.py:66(<listcomp>)
    49012    0.012    0.000    0.016    0.000 schema.py:331(<genexpr>)
     4600    0.010    0.000    0.016    0.000 contextlib.py:533(__exit__)
       17    0.000    0.000    0.016    0.001 _functools.py:75(wrapper)
        1    0.000    0.000    0.016    0.016 platform.py:1(<module>)
     3955    0.004    0.000    0.016    0.000 <__array_function__ internals>:2(concatenate)
        7    0.000    0.000    0.016    0.002 __init__.py:810(lookup)
